Conformed_Date,Conformed_Date_INT,Conformed_Date_Display,Calendar_Day_Of_Week,Calendar_Year,Calendar_Quarter,Calendar_Quarter_Display,Calendar_Month,Calendar_Month_Display,Is_Holiday,Holiday_Name,Is_ON_Holiday,Calendar_Part_Of_Week,Time_Of_Month,Calendar_Month_Year,Calendar_Month_Year_SORT,Calendar_Quarter_Year
12/31/2018,20181231,31-Dec-18,2,2018,4,Q4,12,December,0,,0,Weekday,End of Month,2018 Dec,2018012,2018 Q4
12/30/2018,20181230,30-Dec-18,1,2018,4,Q4,12,December,0,,0,Weekend,End of Month,2018 Dec,2018012,2018 Q4
12/29/2018,20181229,29-Dec-18,7,2018,4,Q4,12,December,0,,0,Weekend,End of Month,2018 Dec,2018012,2018 Q4
12/28/2018,20181228,28-Dec-18,6,2018,4,Q4,12,December,0,,0,Weekday,End of Month,2018 Dec,2018012,2018 Q4
12/27/2018,20181227,27-Dec-18,5,2018,4,Q4,12,December,0,,0,Weekday,End of Month,2018 Dec,2018012,2018 Q4
12/26/2018,20181226,26-Dec-18,4,2018,4,Q4,12,December,0,,0,Weekday,End of Month,2018 Dec,2018012,2018 Q4
12/25/2018,20181225,25-Dec-18,3,2018,4,Q4,12,December,0,,0,Weekday,End of Month,2018 Dec,2018012,2018 Q4
12/24/2018,20181224,24-Dec-18,2,2018,4,Q4,12,December,0,,0,Weekday,End of Month,2018 Dec,2018012,2018 Q4
12/23/2018,20181223,23-Dec-18,1,2018,4,Q4,12,December,0,,0,Weekend,End of Month,2018 Dec,2018012,2018 Q4
12/22/2018,20181222,22-Dec-18,7,2018,4,Q4,12,December,0,,0,Weekend,End of Month,2018 Dec,2018012,2018 Q4
12/21/2018,20181221,21-Dec-18,6,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/20/2018,20181220,20-Dec-18,5,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/19/2018,20181219,19-Dec-18,4,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/18/2018,20181218,18-Dec-18,3,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/17/2018,20181217,17-Dec-18,2,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/16/2018,20181216,16-Dec-18,1,2018,4,Q4,12,December,0,,0,Weekend,Mid-Month,2018 Dec,2018012,2018 Q4
12/15/2018,20181215,15-Dec-18,7,2018,4,Q4,12,December,0,,0,Weekend,Mid-Month,2018 Dec,2018012,2018 Q4
12/14/2018,20181214,14-Dec-18,6,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/13/2018,20181213,13-Dec-18,5,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/12/2018,20181212,12-Dec-18,4,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/11/2018,20181211,11-Dec-18,3,2018,4,Q4,12,December,0,,0,Weekday,Mid-Month,2018 Dec,2018012,2018 Q4
12/10/2018,20181210,10-Dec-18,2,2018,4,Q4,12,December,0,,0,Weekday,Begin of Month,2018 Dec,2018012,2018 Q4
12/9/2018,20181209,9-Dec-18,1,2018,4,Q4,12,December,0,,0,Weekend,Begin of Month,2018 Dec,2018012,2018 Q4
12/8/2018,20181208,8-Dec-18,7,2018,4,Q4,12,December,0,,0,Weekend,Begin of Month,2018 Dec,2018012,2018 Q4
12/7/2018,20181207,7-Dec-18,6,2018,4,Q4,12,December,0,,0,Weekday,Begin of Month,2018 Dec,2018012,2018 Q4
12/6/2018,20181206,6-Dec-18,5,2018,4,Q4,12,December,0,,0,Weekday,Begin of Month,2018 Dec,2018012,2018 Q4
12/5/2018,20181205,5-Dec-18,4,2018,4,Q4,12,December,0,,0,Weekday,Begin of Month,2018 Dec,2018012,2018 Q4
12/4/2018,20181204,4-Dec-18,3,2018,4,Q4,12,December,0,,0,Weekday,Begin of Month,2018 Dec,2018012,2018 Q4
12/3/2018,20181203,3-Dec-18,2,2018,4,Q4,12,December,0,,0,Weekday,Begin of Month,2018 Dec,2018012,2018 Q4
12/2/2018,20181202,2-Dec-18,1,2018,4,Q4,12,December,0,,0,Weekend,Begin of Month,2018 Dec,2018012,2018 Q4
12/1/2018,20181201,1-Dec-18,7,2018,4,Q4,12,December,0,,0,Weekend,Begin of Month,2018 Dec,2018012,2018 Q4
11/30/2018,20181130,30-Nov-18,6,2018,4,Q4,11,November,0,,0,Weekday,End of Month,2018 Nov,2018011,2018 Q4
11/29/2018,20181129,29-Nov-18,5,2018,4,Q4,11,November,0,,0,Weekday,End of Month,2018 Nov,2018011,2018 Q4
11/28/2018,20181128,28-Nov-18,4,2018,4,Q4,11,November,0,,0,Weekday,End of Month,2018 Nov,2018011,2018 Q4
11/27/2018,20181127,27-Nov-18,3,2018,4,Q4,11,November,0,,0,Weekday,End of Month,2018 Nov,2018011,2018 Q4
11/26/2018,20181126,26-Nov-18,2,2018,4,Q4,11,November,0,,0,Weekday,End of Month,2018 Nov,2018011,2018 Q4
11/25/2018,20181125,25-Nov-18,1,2018,4,Q4,11,November,0,,0,Weekend,End of Month,2018 Nov,2018011,2018 Q4
11/24/2018,20181124,24-Nov-18,7,2018,4,Q4,11,November,0,,0,Weekend,End of Month,2018 Nov,2018011,2018 Q4
11/23/2018,20181123,23-Nov-18,6,2018,4,Q4,11,November,0,,0,Weekday,End of Month,2018 Nov,2018011,2018 Q4
11/22/2018,20181122,22-Nov-18,5,2018,4,Q4,11,November,0,,0,Weekday,End of Month,2018 Nov,2018011,2018 Q4
11/21/2018,20181121,21-Nov-18,4,2018,4,Q4,11,November,0,,0,Weekday,Mid-Month,2018 Nov,2018011,2018 Q4
11/20/2018,20181120,20-Nov-18,3,2018,4,Q4,11,November,0,,0,Weekday,Mid-Month,2018 Nov,2018011,2018 Q4
11/19/2018,20181119,19-Nov-18,2,2018,4,Q4,11,November,0,,0,Weekday,Mid-Month,2018 Nov,2018011,2018 Q4
11/18/2018,20181118,18-Nov-18,1,2018,4,Q4,11,November,0,,0,Weekend,Mid-Month,2018 Nov,2018011,2018 Q4
11/17/2018,20181117,17-Nov-18,7,2018,4,Q4,11,November,0,,0,Weekend,Mid-Month,2018 Nov,2018011,2018 Q4
11/16/2018,20181116,16-Nov-18,6,2018,4,Q4,11,November,0,,0,Weekday,Mid-Month,2018 Nov,2018011,2018 Q4
11/15/2018,20181115,15-Nov-18,5,2018,4,Q4,11,November,0,,0,Weekday,Mid-Month,2018 Nov,2018011,2018 Q4
11/14/2018,20181114,14-Nov-18,4,2018,4,Q4,11,November,0,,0,Weekday,Mid-Month,2018 Nov,2018011,2018 Q4
11/13/2018,20181113,13-Nov-18,3,2018,4,Q4,11,November,0,,0,Weekday,Mid-Month,2018 Nov,2018011,2018 Q4
11/12/2018,20181112,12-Nov-18,2,2018,4,Q4,11,November,0,,0,Weekday,Mid-Month,2018 Nov,2018011,2018 Q4
11/11/2018,20181111,11-Nov-18,1,2018,4,Q4,11,November,0,,0,Weekend,Mid-Month,2018 Nov,2018011,2018 Q4
11/10/2018,20181110,10-Nov-18,7,2018,4,Q4,11,November,0,,0,Weekend,Begin of Month,2018 Nov,2018011,2018 Q4
11/9/2018,20181109,9-Nov-18,6,2018,4,Q4,11,November,0,,0,Weekday,Begin of Month,2018 Nov,2018011,2018 Q4
11/8/2018,20181108,8-Nov-18,5,2018,4,Q4,11,November,0,,0,Weekday,Begin of Month,2018 Nov,2018011,2018 Q4
11/7/2018,20181107,7-Nov-18,4,2018,4,Q4,11,November,0,,0,Weekday,Begin of Month,2018 Nov,2018011,2018 Q4
