Record_ID,Occurrence_Time,Reported_Time,Reported_After_Occurence_WEEKS,Reported_After_Occurence_DAYS,Reported_After_Occurence_HOURS,Occurence_Date,Occurred_Time_Of_Day_ID,Reported_Date,Reported_Time_Of_Day_ID,Neighbourhood_ID,Offence_ID,Premise_Type_ID,Occurrence_Postal_Code,Occurrence_FSA
10826,26:00.0,22:00.0,1815,12703,304870,4/24/1980,13,2/3/2015,12,118,120,5,M1T3K9,M1T
85872,20:00.0,12:00.0,1167,8169,196044,3/6/1996,13,7/18/2018,7,128,110,5,M1S1S6,M1S
62778,00:00.0,14:00.0,655,4589,110136,9/20/2004,0,4/14/2017,0,77,130,2,M5V3S9,M5V
62779,00:00.0,14:00.0,655,4589,110136,9/20/2004,0,4/14/2017,0,77,130,2,M5V3S9,M5V
62780,00:00.0,14:00.0,655,4589,110136,9/20/2004,0,4/14/2017,0,77,130,2,M5V3S9,M5V
34946,25:00.0,30:00.0,104,731,17546,2/19/2012,15,2/19/2014,16,112,200,1,M6M4A8,M6M
97336,30:00.0,51:00.0,52,365,8760,1/4/2013,22,1/4/2014,22,68,100,1,M4K3B2,M4K
95352,00:00.0,15:00.0,54,372,8934,1/5/2013,16,1/12/2014,19,73,200,1,M5A2P1,M5A
100068,00:00.0,33:00.0,52,368,8830,2/10/2013,10,2/13/2014,9,136,200,1,M1E3G1,M1E
37120,00:00.0,07:00.0,53,372,8926,6/23/2013,10,6/30/2014,9,74,220,1,M4Y2Y2,M4Y
37445,00:00.0,07:00.0,30,206,4934,8/9/2013,22,3/3/2014,17,67,100,3,M4K1P5,M4K
37758,00:00.0,44:00.0,42,293,7048,8/19/2013,2,6/8/2014,10,73,220,1,M5A3W2,M5A
98562,45:00.0,53:00.0,20,141,3390,9/2/2013,2,1/21/2014,5,77,100,5,M5J2T8,M5J
98563,45:00.0,53:00.0,20,141,3390,9/2/2013,2,1/21/2014,5,77,100,5,M5J2T8,M5J
98565,45:00.0,53:00.0,20,141,3390,9/2/2013,2,1/21/2014,5,77,100,5,M5J2T8,M5J
98566,45:00.0,53:00.0,20,141,3390,9/2/2013,2,1/21/2014,5,77,100,5,M5J2T8,M5J
98567,45:00.0,53:00.0,20,141,3390,9/2/2013,2,1/21/2014,5,77,100,5,M5J2T8,M5J
98568,45:00.0,53:00.0,20,141,3390,9/2/2013,2,1/21/2014,5,77,100,5,M5J2T8,M5J
96694,01:00.0,08:00.0,20,141,3384,9/2/2013,13,1/21/2014,13,77,100,5,M5J2T8,M5J
96695,01:00.0,08:00.0,20,141,3384,9/2/2013,13,1/21/2014,13,77,100,5,M5J2T8,M5J
96696,01:00.0,08:00.0,20,141,3384,9/2/2013,13,1/21/2014,13,77,100,5,M5J2T8,M5J
96697,01:00.0,08:00.0,20,141,3384,9/2/2013,13,1/21/2014,13,77,100,5,M5J2T8,M5J
96698,01:00.0,08:00.0,20,141,3384,9/2/2013,13,1/21/2014,13,77,100,5,M5J2T8,M5J
96699,01:00.0,08:00.0,20,141,3384,9/2/2013,13,1/21/2014,13,77,100,5,M5J2T8,M5J
103026,05:00.0,00:00.0,46,319,7638,9/6/2013,23,7/22/2014,14,54,100,2,M4B2T5,M4B
